date,total_pnl,mean_pnl,pnl_volatility,max_loss,trades,unique_traders,avg_trade_size,total_volume,total_fees,avg_exposure,buy_trades,sell_trades,buy_sell_ratio,value,classification,sentiment
2024-09-04,0.0,0.0,0.0,0.0,3,1,19021.280000000002,57063.840000000004,19.972341,5.432633593235246,0,3,0.0,27,Fear,Fear
2024-09-05,1147.595856,40.985566285714285,92.95513364107583,0.0,28,2,7927.361428571428,221966.12,77.688132,1238.2282871484094,9,19,0.45,29,Fear,Fear
2024-09-06,0.0,0.0,0.0,0.0,17,2,1318.2482352941176,22410.22,7.515775,28.21585307768679,17,0,17.0,22,Extreme Fear,Fear
2024-09-07,648.984412,43.265627466666665,40.13596510326193,3.083593,15,1,182.42999999999998,2736.45,0.39756800000000003,40.000071421860824,0,15,0.0,23,Extreme Fear,Fear
2024-09-08,18082.071276,125.56993941666666,454.8533022933731,-232.54022,144,5,3494.4781944444444,503204.86,185.25438068,585.8328244172532,54,90,0.5934065934065934,29,Fear,Fear
2024-09-09,0.0,0.0,0.0,0.0,2,1,2007.2150000000001,4014.4300000000003,34.9079,174540.4196051809,2,0,2.0,26,Fear,Fear
2024-09-10,396.06272,28.290194285714286,61.54299038481661,0.0,14,1,15742.852142857142,220399.93,77.139967,0.25424286298826265,11,3,2.75,33,Fear,Fear
2024-09-11,102.90894,1.196615581395349,2.90992297730476,-0.025116,86,2,2248.655930232558,193384.41,66.18450299999999,895.6154966599522,53,33,1.5588235294117647,37,Fear,Fear
2024-09-12,6310.967676,11.708659881261596,100.89854795146519,-2.016795,539,10,1825.5096103896105,983949.68,174.77343643,316.04130708157095,455,84,5.352941176470588,31,Fear,Fear
2024-10-01,-1517.091342,-7.860576901554404,119.7894328095249,-1032.98154,193,1,10660.515440414507,2057479.48,434.044865,1037.835284625494,92,101,0.9019607843137255,50,Neutral,Neutral
2024-10-03,2482.9272,59.117314285714286,207.7542700001469,-504.6976,42,1,5237.472619047619,219973.85,2.281072,762.8590297844489,38,4,7.6,37,Fear,Fear
2024-10-04,5207.443414,127.01081497560976,197.76893722954745,0.0,41,1,8578.926097560974,351735.97,123.107562,2.5000172406622276,40,1,20.0,41,Fear,Fear
2024-10-05,2101.741695,95.53371340909092,240.61922882162773,0.0,22,1,7131.0,156882.0,54.90869,2.4248046166044936,16,6,2.2857142857142856,49,Neutral,Neutral
2024-10-06,31.266804999999998,0.589939716981132,1.9665257227845954,0.0,53,2,879.0175471698113,46587.93,14.696328000000001,101.10469562177059,22,31,0.6875,50,Neutral,Neutral
2024-10-07,11977.734907,213.88812333928573,337.8156690082534,0.0,56,2,12283.93232142857,687900.21,240.76504,120.96076576309939,10,46,0.2127659574468085,50,Neutral,Neutral
2024-10-08,0.0,0.0,0.0,0.0,88,2,128.8555681818182,11339.29,50.0831879,1768.6310234673729,87,1,43.5,49,Neutral,Neutral
2024-10-09,-219.729659,-73.24321966666666,96.08066367806516,-182.031768,3,2,849.0933333333334,2547.28,7.2904,22224.59992592834,1,2,0.3333333333333333,49,Neutral,Neutral
2024-10-10,0.0,0.0,0.0,0.0,16,1,18751.521249999998,300024.33999999997,105.00851,0.3155618840698164,16,0,16.0,39,Fear,Fear
2024-10-11,991.114334,5.728984589595376,22.471438317729593,0.0,173,3,2390.963583815029,413636.7,142.313546,4858.536688208498,48,125,0.38095238095238093,32,Fear,Fear
2024-10-12,39325.770231,24.640206911654136,141.48990698368283,-342.673578,1596,11,1973.94992481203,3150424.08,453.54068535,1797.987975277742,530,1066,0.4967197750702905,49,Neutral,Neutral
2024-11-01,-164.08950099999998,-7.813785761904761,101.92627878710132,-406.568766,21,2,14538.766666666666,305314.1,75.867171,40.30665293197574,13,8,1.4444444444444444,75,Extreme Greed,Greed
2024-11-02,983.443176,28.924799294117648,108.62231864377547,0.0,34,1,6244.465294117647,212311.82,24.955292,781.1412754818783,23,11,1.9166666666666667,72,Greed,Greed
2024-11-03,3588.179495,85.43284511904761,196.10462239183906,0.0,42,1,4202.844047619047,176519.44999999998,8.47289,3318.357811968128,12,30,0.3870967741935484,74,Greed,Greed
2024-11-04,389.743164,24.35894775,69.72639235953248,0.0,16,1,4775.06,76400.96,26.740329,1.3481061383566613,14,2,4.666666666666667,70,Greed,Greed
2024-11-05,251.604742,27.956082444444444,38.73340875071258,0.090771,9,1,7027.661111111111,63248.95,22.137125,2.4046449470640767,0,9,0.0,70,Greed,Greed
2024-11-06,4320.631811,35.12708789430894,169.7310786091785,0.0,123,3,3034.7960975609753,373279.92,129.928213,116.58523674204048,114,9,11.4,70,Greed,Greed
2024-11-07,1876.812082,98.77958326315789,150.16378122148163,0.0,19,1,8941.422105263156,169887.02,59.460443,2.832973818056428,10,9,1.0,77,Extreme Greed,Greed
2024-11-08,847.7766200000001,35.32402583333334,91.2518343902943,0.0,24,2,1842.9254166666667,44230.21,40.931287,3980.182099061929,16,8,1.7777777777777777,75,Extreme Greed,Greed
2024-11-09,0.0,0.0,,0.0,1,1,0.54,0.54,0.0,35997.600159989335,0,1,0.0,75,Extreme Greed,Greed
2024-11-10,8885.327477,341.74336450000004,367.9830904604618,0.0,26,2,18804.007307692307,488904.19,171.116194,174.6957749491221,0,26,0.0,78,Extreme Greed,Greed
2024-11-11,6749.630996,18.09552545844504,60.90235280005483,-3.52203,373,4,4210.649919571046,1570572.42,396.91055,8178.493203020704,94,279,0.3357142857142857,76,Extreme Greed,Greed
2024-11-12,319051.554217,261.30348420720725,2003.1396625321522,-1149.124536,1221,12,1796.9683292383293,2194098.33,413.50923006,304.55368857609,171,1050,0.16270218839200762,80,Extreme Greed,Greed
2024-12-01,-1925.519024,-275.0741462857143,669.9280140108323,-1790.004944,7,1,28583.181428571428,200082.27,49.480726999999995,220.32561981892925,5,2,1.6666666666666667,81,Extreme Greed,Greed
2024-12-02,913.8817869999998,57.11761168749999,828.6571214700353,-992.159844,16,1,14202.981249999999,227247.69999999998,27.111911,63.597474704167155,11,5,1.8333333333333333,80,Extreme Greed,Greed
2024-12-03,3039.166,379.89575,521.6006618377291,0.0,8,1,12880.10625,103040.85,4.945953,1425.50010897944,1,7,0.125,76,Extreme Greed,Greed
2024-12-04,-592.6458390000001,-4.594153790697676,122.96278242038903,-884.134485,129,3,3427.0433333333335,442088.59,97.560875,169925.96365466385,43,86,0.4942528735632184,78,Extreme Greed,Greed
2024-12-05,0.0,0.0,0.0,0.0,23,2,2399.111304347826,55179.56,19.312829,1501.9329560187427,17,6,2.4285714285714284,84,Extreme Greed,Greed
2024-12-06,-21886.531493,-86.16744682283463,276.1864377273308,-2806.5,254,2,761.4486614173228,193407.96,63.921417,146.08469537456793,115,139,0.8214285714285714,72,Greed,Greed
2024-12-07,1412.314654,74.33235021052631,112.44287174423458,0.0,19,2,4714.893157894737,89582.97,31.354029,337.28004588574066,19,0,19.0,75,Extreme Greed,Greed
2024-12-08,858.6705000000001,17.88896875,64.64753431191872,0.0,48,3,1128.4858333333334,54167.32,36.071895,1238.738078831343,39,9,3.9,79,Extreme Greed,Greed
2024-12-10,541.55471,54.155471,63.374247509280295,0.0,10,1,15971.34,159713.4,55.899685,0.25459900836732985,7,3,1.75,78,Extreme Greed,Greed
2024-12-11,3494.399394,20.435084175438597,80.90406191682668,-3.50649,171,4,7171.663859649123,1226354.52,427.904853,844.634195604423,98,73,1.3243243243243243,74,Greed,Greed
2024-12-12,599151.795008,310.1199767122153,1920.807926510415,-634.279258,1932,14,2358.7939285714288,4557189.87,698.96545151,850.9995094537553,421,1511,0.27843915343915343,83,Extreme Greed,Greed
2025-01-01,-9528.065345,-99.25068067708334,989.3224125030252,-9691.525303,96,6,2943.5635416666664,282582.1,31.60438221,361.94885942692446,68,28,2.3448275862068964,66,Greed,Greed
2025-01-02,32300.205017,50.946695610410096,446.4149984530011,-102.485175,634,12,2151.019621451104,1363746.44,285.47738189,10302.17810371476,352,282,1.243816254416961,70,Greed,Greed
2025-01-03,10596.108968,60.897177977011495,134.45844944800064,-31.97183,174,5,1516.230632183908,263824.13,37.06354539,1453.8466811960081,105,69,1.5,74,Greed,Greed
2025-01-04,-2202.6622420000003,-11.472199177083334,297.0927135926486,-2483.57772,192,9,3668.9853645833336,704445.1900000001,162.93599482,4802.910651456832,92,100,0.9108910891089109,73,Greed,Greed
2025-01-05,54536.829297000004,44.338885607317074,972.822640253054,-11199.63611,1230,11,8715.642699186992,10720240.52,2652.6136779658,82.80912863999404,686,544,1.2587155963302752,72,Greed,Greed
2025-02-01,8716.519087,24.145482235457067,117.65384746788118,-26.97532,361,9,2145.9136842105263,774674.84,176.13969323,1104.1521861912408,107,254,0.4196078431372549,68,Greed,Greed
2025-02-02,162854.759623,123.46835452843062,1386.063749537317,-815.648519,1319,13,4291.957763457164,5661092.29,1184.12208921,2165.5856284648858,833,486,1.7104722792607803,60,Greed,Greed
2025-02-03,66914.320708,125.77879832330827,523.6453822891723,-1123.011648,532,10,12144.452518796992,6460848.74,1931.69694201,481.51617469310173,274,258,1.057915057915058,44,Fear,Fear
2025-02-04,202212.740938,187.930056633829,783.0878201791388,-0.057424,1076,11,3594.7310408921935,3867930.6,1181.2230379,3501.9423000659253,128,948,0.13487881981032665,72,Greed,Greed
2025-03-01,6028.486793,11.867099986220472,63.36348991609002,-14.35003,508,9,1518.1279330708662,771208.99,210.99783681,748.3153086941345,169,339,0.4970588235294118,20,Extreme Fear,Fear
2025-03-02,348871.326269,146.58459086932774,1292.2669438694834,-19841.24014,2380,12,9492.815701680673,22592901.37,2991.56562406,5459.559854378069,1091,1289,0.8457364341085272,26,Fear,Fear
2025-03-03,616413.032233,415.9332201302294,1682.4075657180047,-317.543472,1482,14,5563.151403508772,8244590.38,1040.56404242,819.9967263552255,1069,413,2.582125603864734,33,Fear,Fear
2025-03-04,-2365.961276,-1.353524757437071,81.23364439225159,-1430.889856,1748,17,4960.087614416476,8670233.15,1337.1188527,3045.6915049176023,956,792,1.205548549810845,15,Extreme Fear,Fear
2025-04-01,2553.537968,6.882851665768194,75.44665860042967,-81.692487,371,9,4921.912722371967,1826029.6199999999,233.711971,527.6448720769307,76,295,0.25675675675675674,34,Fear,Fear
2025-04-02,416876.88812,165.9541752070064,2184.1682347008123,-5149.876128,2512,13,6241.404964171974,15678409.27,3853.77856394,455.506046633566,1143,1369,0.8343065693430657,44,Fear,Fear
2025-04-03,182075.566585,75.80165136761032,940.9538347121356,-3003.330755,2402,16,4631.24360949209,11124247.15,2220.33648528,395.2333171542689,1748,654,2.668702290076336,25,Fear,Fear
2025-04-04,-25515.678949999998,-20.05949602987421,581.2639206142574,-17323.49327,1272,14,3015.3661399371067,3835545.73,836.063409361,1120.6606848792876,499,773,0.6447028423772609,28,Fear,Fear
2025-05-01,3187.719363,13.337737920502093,59.881873800685874,-16.868948,239,8,1890.977280334728,451943.57,139.34161097,1088.428852391647,65,174,0.37142857142857144,53,Neutral,Neutral
2025-05-02,56706.235562,43.721075992289904,444.31734690264386,-7104.920076,1297,11,6741.1191287586735,8743231.51,1335.74961667,907.2915953678868,689,608,1.1313628899835797,67,Greed,Greed
